iter	Passed	Remaining
0	2	2712
1	4	2556
2	7	2680
3	9	2605
4	11	2544
5	13	2529
6	15	2526
7	18	2535
8	20	2513
9	22	2511
10	24	2509
11	26	2503
12	29	2491
13	31	2484
14	33	2478
15	35	2465
16	38	2480
17	40	2505
18	42	2498
19	45	2497
20	47	2491
21	49	2488
22	51	2484
23	53	2475
24	56	2493
25	58	2493
26	61	2496
27	63	2501
28	66	2500
29	68	2493
30	70	2496
31	73	2507
32	75	2510
33	78	2507
34	80	2506
35	82	2505
36	84	2497
37	87	2509
38	90	2517
39	92	2514
40	94	2510
41	97	2510
42	99	2506
43	101	2504
44	104	2519
45	107	2518
46	109	2515
47	111	2510
48	114	2505
49	116	2504
50	119	2506
51	121	2515
52	124	2511
53	126	2510
54	128	2505
55	131	2502
56	133	2498
57	136	2508
58	139	2513
59	141	2516
60	144	2518
61	146	2518
62	149	2517
63	152	2527
64	154	2525
65	157	2523
66	159	2521
67	162	2518
68	164	2517
69	167	2522
70	170	2528
71	172	2527
72	175	2529
73	178	2531
74	180	2529
75	183	2527
76	186	2532
77	188	2531
78	190	2528
79	193	2528
80	195	2524
81	198	2521
82	201	2525
83	203	2521
84	205	2518
85	208	2516
86	210	2515
87	213	2511
88	215	2512
89	218	2511
90	220	2507
91	222	2503
92	225	2499
93	227	2496
94	229	2491
95	232	2494
96	235	2490
97	237	2486
98	239	2485
99	242	2485
100	244	2482
101	247	2481
102	250	2481
103	252	2477
104	254	2474
105	257	2472
106	259	2470
107	262	2467
108	265	2470
109	267	2468
110	270	2466
111	272	2464
112	275	2463
113	277	2461
114	280	2460
115	282	2457
116	284	2455
117	287	2452
118	289	2451
119	292	2449
120	294	2447
121	297	2447
122	300	2447
123	303	2447
124	305	2445
125	308	2444
126	310	2442
127	313	2442
128	316	2440
129	318	2437
130	320	2434
131	323	2433
132	326	2431
133	328	2431
134	331	2430
135	333	2428
136	336	2427
137	338	2424
138	341	2422
139	344	2421
140	346	2420
141	349	2416
142	351	2414
143	353	2411
144	356	2408
145	358	2405
146	361	2406
147	364	2403
148	366	2400
149	369	2398
150	371	2396
151	373	2393
152	377	2395
153	379	2394
154	382	2392
155	384	2389
156	387	2387
157	389	2384
158	393	2389
159	396	2390
160	399	2391
161	401	2388
162	404	2385
163	406	2382
164	409	2383
165	412	2380
166	414	2377
167	416	2375
168	419	2372
169	421	2370
170	424	2368
171	427	2368
172	429	2365
173	432	2362
174	434	2360
175	437	2359
176	440	2356
177	442	2355
178	445	2353
179	447	2350
180	450	2347
181	452	2345
182	455	2343
183	458	2343
184	460	2340
185	463	2337
186	465	2335
187	468	2333
188	470	2330
189	473	2328
190	475	2326
191	478	2324
192	480	2320
193	483	2318
194	485	2316
195	488	2314
196	491	2313
197	493	2309
198	495	2306
199	498	2304
200	500	2301
201	503	2298
202	505	2296
203	508	2295
204	510	2292
205	513	2289
206	516	2290
207	518	2288
208	521	2286
209	524	2284
210	526	2282
211	529	2281
212	532	2279
213	534	2276
214	537	2275
215	540	2274
216	543	2272
217	545	2269
218	547	2265
219	550	2263
220	552	2260
221	555	2258
222	557	2256
223	560	2253
224	562	2251
225	565	2249
226	567	2246
227	570	2244
228	573	2242
229	575	2240
230	577	2236
231	580	2233
232	582	2230
233	585	2227
234	588	2227
235	590	2224
236	593	2222
237	595	2220
238	598	2218
239	601	2216
240	604	2217
241	607	2215
242	609	2212
243	612	2210
244	614	2207
245	617	2205
246	620	2205
247	623	2203
248	625	2200
249	627	2197
250	630	2194
251	632	2191
252	635	2190
253	637	2187
254	640	2185
255	642	2182
256	645	2179
257	647	2177
258	650	2176
259	653	2174
260	656	2172
261	658	2169
262	661	2166
263	663	2163
264	665	2160
265	668	2160
266	671	2157
267	673	2154
268	676	2152
269	678	2149
270	681	2147
271	684	2146
272	686	2143
273	689	2140
274	691	2138
275	694	2135
276	696	2133
277	699	2131
278	702	2128
279	704	2126
280	707	2123
281	709	2121
282	712	2118
283	714	2117
284	717	2115
285	720	2113
286	722	2110
287	725	2107
288	727	2104
289	729	2101
290	732	2099
291	734	2096
