iter	RMSE
0	0.3934305259
1	0.3879701503
2	0.3823797001
3	0.3764061981
4	0.3712108134
5	0.366044826
6	0.3605028252
7	0.3554370413
8	0.3506485179
9	0.3458940345
10	0.341207357
11	0.3359239767
12	0.3316686891
13	0.326983823
14	0.3221206809
15	0.3177880722
16	0.31334801
17	0.3088912367
18	0.304860258
19	0.3014567599
20	0.2978239272
21	0.2942374978
22	0.2908458745
23	0.2873942556
24	0.2840010385
25	0.2805186688
26	0.2777393269
27	0.2748384372
28	0.2715414787
29	0.2683198359
30	0.2651778899
31	0.262022672
32	0.258986124
33	0.2558217612
34	0.2529246034
35	0.2504166345
36	0.2475549382
37	0.2453614022
38	0.2428724317
39	0.2402946321
40	0.2380625615
41	0.2354982972
42	0.2330209707
43	0.230838893
44	0.2288612172
45	0.2266228912
46	0.2247636806
47	0.2223287104
48	0.2201035262
49	0.218013822
50	0.2156281978
51	0.2135937139
52	0.2116871437
53	0.2098413713
54	0.2079127022
55	0.2057391402
56	0.2039053898
57	0.2018298246
58	0.200040936
59	0.1983737904
60	0.1968468766
61	0.1951768378
62	0.1936653038
63	0.1920557655
64	0.1907947348
65	0.1894814065
66	0.1881688037
67	0.1867841837
68	0.1854535822
69	0.1841441425
70	0.1830806288
71	0.181795517
72	0.180589436
73	0.1793952591
74	0.1781756701
75	0.1768485692
76	0.1756741183
77	0.1743981406
78	0.1731215852
79	0.1719437064
80	0.1708204783
81	0.1697045832
82	0.1686885115
83	0.1678784539
84	0.167085015
85	0.1659706241
86	0.1652031923
87	0.1641833288
88	0.1633577571
89	0.1624308082
90	0.1614282959
91	0.1606569046
92	0.1598283196
93	0.1590190135
94	0.1581497939
95	0.1573278396
96	0.1565533136
97	0.1556652734
98	0.1549821718
99	0.1543932304
100	0.1536906457
101	0.1529025626
102	0.1523287622
103	0.1517393659
104	0.1510935472
105	0.1506003008
106	0.1499543494
107	0.1493978024
108	0.148658778
109	0.1479671866
110	0.1472370161
111	0.1466314194
112	0.1461260484
113	0.1457335825
114	0.1452574262
115	0.1447869452
116	0.1443187057
117	0.1438475815
118	0.1433605891
119	0.1430002556
120	0.1425543129
121	0.1420532959
122	0.1417091243
123	0.1410634349
124	0.1406776316
